start_colnames,clean_colnames
shoulder_absorption_fp_br_bw_adj,Energy Absorption Shoulder above BW Expect
elbow_transfer_fp_br_bw_adj ,Energy Transfer Elbow above BW Expect
elbow_generation_fp_br_bw_adj,Energy Generation Elbow above BW Expect
elbow_absorption_fp_br_bw_adj,Energy Absorption Elbow above BW Expect
lead_hip_transfer_fp_br_bw_adj,Energy Transfer Lead Hip above BW Expect
lead_hip_generation_fp_br_bw_adj,Energy Generation Lead Hip above BW Expect
lead_hip_absorption_fp_br_bw_adj,Energy Absorption Lead Hip above BW Expect
lead_knee_transfer_fp_br_bw_adj,Energy Transfer Lead Knee above BW Expect
lead_knee_generation_fp_br_bw_adj,Energy Generation Lead Knee above BW Expect
lead_knee_absorption_fp_br_bw_adj,Energy Absorption Lead Knee above BW Expect
rear_hip_transfer_pkh_fp_bw_adj,Energy Transfer Rear Hip above BW Expect
rear_hip_generation_pkh_fp_bw_adj,Energy Generation Rear Hip above BW Expect
rear_hip_absorption_pkh_fp_bw_adj,Energy Absorption Rear Hip above BW Expect
rear_knee_transfer_pkh_fp_bw_adj,Energy Transfer Rear Knee above BW Expect
rear_knee_generation_pkh_fp_bw_adj,Energy Generation Rear Knee above BW Expect
rear_knee_absorption_pkh_fp_bw_adj,Energy Absorption Rear Knee above BW Expect
pelvis_lumbar_transfer_fp_br_bw_adj,Energy Transfer Pelvis Lumbar above BW Expect
thorax_distal_transfer_fp_br_bw_adj,Energy Transfer Thorax Distal above BW Expect
